city,year_month,monthly_mean_raininess
Kyoto,2021-01,2.2096774193548385
Kyoto,2021-02,2.3035714285714284
Kyoto,2021-03,4.651612903225806
Kyoto,2021-04,7.0
Kyoto,2021-05,9.970967741935485
Kyoto,2021-06,6.62
Kyoto,2021-07,10.509677419354839
Kyoto,2021-08,13.77741935483871
Kyoto,2021-09,7.826666666666666
Kyoto,2021-10,2.5483870967741935
Kyoto,2021-11,2.4366666666666665
Kyoto,2021-12,3.5129032258064514
Kyoto,2022-01,1.0032258064516129
Kyoto,2022-02,0.7392857142857142
Kyoto,2022-03,3.335483870967742
Kyoto,2022-04,4.17
Kyoto,2022-05,5.225806451612903
Kyoto,2022-06,6.093333333333333
Kyoto,2022-07,10.112903225806452
Kyoto,2022-08,6.987096774193549
Kyoto,2022-09,9.006666666666666
Kyoto,2022-10,3.9419354838709677
Kyoto,2022-11,3.6533333333333338
Kyoto,2022-12,0.970967741935484
Kyoto,2023-01,0.9193548387096774
Kyoto,2023-02,1.385714285714286
Kyoto,2023-03,4.067741935483871
Kyoto,2023-04,6.086666666666667
Kyoto,2023-05,7.116129032258065
Kyoto,2023-06,9.896666666666667
Kyoto,2023-07,4.070967741935484
Kyoto,2023-08,7.141935483870967
Kyoto,2023-09,3.3033333333333332
Kyoto,2023-10,1.9096774193548387
Kyoto,2023-11,3.243333333333333
Kyoto,2023-12,1.7451612903225806
Kyoto,2024-01,2.9
London,2021-01,3.5354838709677416
London,2021-02,1.2964285714285713
London,2021-03,1.058064516129032
London,2021-04,0.3333333333333333
London,2021-05,2.7838709677419353
London,2021-06,3.3
London,2021-07,2.8096774193548386
London,2021-08,1.7903225806451613
London,2021-09,1.5666666666666667
London,2021-10,3.9516129032258065
London,2021-11,0.31
London,2021-12,2.3548387096774195
London,2022-01,0.6129032258064516
London,2022-02,2.082142857142857
London,2022-03,1.4741935483870967
London,2022-04,0.7233333333333333
London,2022-05,2.8483870967741933
London,2022-06,2.0966666666666667
London,2022-07,0.45161290322580644
London,2022-08,0.9225806451612903
London,2022-09,1.6866666666666668
London,2022-10,2.532258064516129
London,2022-11,4.6433333333333335
London,2022-12,1.7645161290322582
London,2023-01,1.8451612903225807
London,2023-02,0.425
London,2023-03,2.8870967741935485
London,2023-04,2.3733333333333335
London,2023-05,1.1806451612903226
London,2023-06,1.3166666666666667
London,2023-07,2.903225806451613
London,2023-08,1.803225806451613
London,2023-09,1.9233333333333331
London,2023-10,2.9645161290322584
London,2023-11,2.9966666666666666
London,2023-12,2.52258064516129
London,2024-01,10.5
Munich,2021-01,0.996774193548387
Munich,2021-02,1.325
Munich,2021-03,0.9483870967741935
Munich,2021-04,1.0233333333333332
Munich,2021-05,5.374193548387097
Munich,2021-06,4.966666666666667
Munich,2021-07,4.95483870967742
Munich,2021-08,5.770967741935484
Munich,2021-09,2.013333333333333
Munich,2021-10,1.2161290322580647
Munich,2021-11,1.3966666666666667
Munich,2021-12,1.735483870967742
Munich,2022-01,0.7612903225806452
Munich,2022-02,1.8285714285714287
Munich,2022-03,0.6387096774193549
Munich,2022-04,2.7066666666666666
Munich,2022-05,2.958064516129032
Munich,2022-06,5.406666666666667
Munich,2022-07,2.1516129032258067
Munich,2022-08,4.906451612903226
Munich,2022-09,4.44
Munich,2022-10,3.3225806451612905
Munich,2022-11,2.1166666666666667
Munich,2022-12,1.3387096774193548
Munich,2023-01,0.5967741935483871
Munich,2023-02,1.4714285714285715
Munich,2023-03,1.8387096774193548
Munich,2023-04,3.636666666666667
Munich,2023-05,3.480645161290323
Munich,2023-06,1.06
Munich,2023-07,3.3741935483870966
Munich,2023-08,5.980645161290322
Munich,2023-09,1.8133333333333332
Munich,2023-10,1.8225806451612903
Munich,2023-11,5.416666666666667
Munich,2023-12,3.4000000000000004
Munich,2024-01,0.2
Oslo,2021-01,0.967741935483871
Oslo,2021-02,0.4321428571428571
Oslo,2021-03,0.45806451612903226
Oslo,2021-04,0.19
Oslo,2021-05,3.6322580645161286
Oslo,2021-06,2.12
Oslo,2021-07,6.183870967741935
Oslo,2021-08,0.9193548387096774
